file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
archi-phon-2006-JSP-1-vowels_0001,185.1,0.236,í,1,Teal,1,5433,325,2343,2831,337,2335,2926,363,2289,2934,355,2342,2819,424,1974,2618
archi-phon-2006-JSP-1-vowels_0002,187.6,0.178,í,1,Teal,2,4500,341,691,2294,315,416,2307,327,848,2293,324,882,2341,327,1029,2249
archi-phon-2006-JSP-1-vowels_0003,180.5,0.292,í,1,Teal,3,5567,357,2069,2611,459,2311,2931,427,2341,3028,361,2375,2899,388,2085,2859
archi-phon-2006-JSP-1-vowels_0004,133.1,0.204,í,1,Teal,4,4767,292,1986,2473,300,2059,2519,417,2089,2542,414,2112,2559,416,2141,2612
archi-phon-2006-JSP-1-vowels_0005,169.7,0.268,í,1,Teal,5,5167,325,2095,2640,345,2188,2569,381,2186,2531,363,2224,2650,341,2209,2604
archi-phon-2006-JSP-1-vowels_0006,148.1,0.208,í,1,Teal,6,5033,337,2079,2686,344,2195,2674,363,2195,2656,295,2193,2652,288,2083,2603
archi-phon-2006-JSP-1-vowels_0007,187.2,0.174,ú,5,Olive,7,5167,342,671,2110,391,704,1927,354,869,1856,371,944,2174,397,952,2149
archi-phon-2006-JSP-1-vowels_0008,166.3,0.142,ú,5,Olive,8,5433,346,779,2400,332,817,2388,336,857,2352,340,921,2310,339,977,2270
archi-phon-2006-JSP-1-vowels_0009,273.1,0.156,íˤ,6,Cyan,9,4767,390,1827,2723,368,1973,2600,354,1999,2533,349,1969,2327,317,1935,2338
archi-phon-2006-JSP-1-vowels_0010,122,0.152,íˤ,6,Cyan,10,5967,427,1829,3017,391,1893,2930,316,1955,2850,322,1995,2698,315,1990,2605
archi-phon-2006-JSP-1-vowels_0011,176.1,0.176,íː,11,Teal,11,5700,360,2083,2733,342,2069,2647,377,2059,2433,374,2035,2229,449,1236,2148
archi-phon-2006-JSP-1-vowels_0012,240.4,0.182,íː,11,Teal,12,4900,385,2021,2859,435,2008,2797,333,2088,2726,335,2100,2306,332,2104,2376
archi-phon-2006-JSP-1-vowels_0013,187.7,0.174,íː,11,Teal,13,5167,409,2080,2656,392,2197,2607,402,2267,2737,387,2204,2771,375,2169,2620
archi-phon-2006-JSP-1-vowels_0014,141.4,0.098,ó,4,Green,14,4500,422,774,2128,436,774,2201,443,951,2136,432,1135,2096,433,1238,2149
archi-phon-2006-JSP-1-vowels_0015,156.2,0.136,íː,11,Teal,15,4900,360,2005,2665,337,2215,2618,335,2248,2702,381,2276,2794,420,2204,2712
archi-phon-2006-JSP-1-vowels_0016,329.7,0.206,íː,11,Teal,16,6233,341,2388,3131,337,2351,3143,356,2368,3394,352,2428,3288,362,2368,3235
archi-phon-2006-JSP-1-vowels_0017,147.7,0.14,íː,11,Teal,17,4767,325,2236,2522,315,2269,2538,390,2365,2822,371,2360,2826,454,2302,2871
archi-phon-2006-JSP-1-vowels_0018,183.2,0.264,ó,4,Green,18,4633,423,746,2303,481,859,2394,490,849,2430,523,984,2442,582,1170,2464
archi-phon-2006-JSP-1-vowels_0019,188.5,0.17,ó,4,Green,19,5033,444,751,2348,419,756,2411,453,760,2447,515,805,2520,545,992,2465
archi-phon-2006-JSP-1-vowels_0020,189,0.154,íː,11,Teal,20,4767,370,1979,2740,354,2082,2663,374,2172,2679,371,2181,2601,377,2185,2724
archi-phon-2006-JSP-1-vowels_0021,175.5,0.14,íː,11,Teal,21,5167,337,2012,2600,336,2025,2540,349,2072,2528,374,2125,2553,379,2111,2587
archi-phon-2006-JSP-1-vowels_0022,158.2,0.148,é,2,Navy,22,4633,450,1829,2407,472,1841,2436,475,1843,2376,371,1813,2434,370,1861,2533
archi-phon-2006-JSP-1-vowels_0023,151.4,0.13,é,2,Navy,23,5167,437,1883,2386,448,1817,2315,469,1832,2303,449,1835,2346,365,1805,2419
archi-phon-2006-JSP-1-vowels_0024,157,0.196,é,2,Navy,24,5033,349,1981,2393,393,1885,2325,491,1841,2347,494,1821,2473,417,1881,2380
archi-phon-2006-JSP-1-vowels_0025,142.6,0.142,é,2,Navy,25,4633,322,1903,2293,386,1853,2295,443,1798,2282,454,1829,2354,476,1786,2361
archi-phon-2006-JSP-1-vowels_0026,179.7,0.202,é,2,Navy,26,5433,479,1926,2492,441,1898,2588,430,1922,2682,492,1962,2592,453,1958,2765
archi-phon-2006-JSP-1-vowels_0027,160.9,0.14,é,2,Navy,27,5433,465,1830,2340,476,1832,2417,479,1807,2504,443,1825,2576,390,1814,2679
archi-phon-2006-JSP-1-vowels_0028,175.7,0.262,éˤ,7,Blue,28,4633,418,1583,2342,442,1594,2221,441,1580,2202,512,1600,2188,465,1645,2338
archi-phon-2006-JSP-1-vowels_0029,153.2,0.18,éˤ,7,Blue,29,4500,416,1686,2277,431,1631,2281,446,1596,2219,435,1606,2273,406,1555,2365
archi-phon-2006-JSP-1-vowels_0030,176.9,0.296,éː,12,Navy,30,4767,420,1831,2419,469,1841,2453,462,1862,2464,547,1796,2440,563,1807,2400
archi-phon-2006-JSP-1-vowels_0031,141.5,0.23,é,2,Navy,31,4767,419,1891,2410,434,1854,2352,447,1836,2333,457,1828,2359,439,1768,2369
archi-phon-2006-JSP-1-vowels_0032,191,0.212,éˤ,7,Blue,32,4500,476,1605,2428,456,1625,2371,505,1673,2227,505,1671,2207,460,1569,2083
archi-phon-2006-JSP-1-vowels_0033,140.5,0.25,éˤ,7,Blue,33,5700,443,1496,2731,460,1650,2749,490,1716,2820,493,1797,2779,418,1760,2541
archi-phon-2006-JSP-1-vowels_0034,176.1,0.256,éː,12,Navy,34,5167,448,1809,2426,421,1830,2442,419,1826,2480,536,1791,2469,505,1396,2382
archi-phon-2006-JSP-1-vowels_0035,155.3,0.204,éː,12,Navy,35,5433,400,1838,2441,425,1860,2508,467,1801,2347,466,1632,2257,466,1246,2289
archi-phon-2006-JSP-1-vowels_0036,170.1,0.104,é,2,Navy,36,5033,374,1055,2197,405,1278,2037,429,1573,2122,437,1749,2181,380,1452,2061
archi-phon-2006-JSP-1-vowels_0037,146.2,0.118,é,2,Navy,37,5700,462,1417,1981,493,1613,2038,464,1776,2248,460,1788,2378,458,1861,2351
archi-phon-2006-JSP-1-vowels_0038,190.5,0.386,éːˤ,17,Blue,38,5700,493,1678,2288,537,1625,2105,573,1623,2021,553,1551,2308,431,1502,2327
archi-phon-2006-JSP-1-vowels_0039,157,0.346,éːˤ,17,Blue,39,4500,461,1740,2180,498,1722,2174,511,1596,2105,492,1585,2139,473,1576,2243
archi-phon-2006-JSP-1-vowels_0040,181.9,0.268,éːˤ,17,Blue,40,4500,402,1547,1914,450,1640,1972,569,1652,2012,565,1560,2086,514,1504,2220
archi-phon-2006-JSP-1-vowels_0041,129.9,0.256,éːˤ,17,Blue,41,4500,417,1451,1797,434,1488,1879,481,1545,1909,499,1488,2018,412,1483,2119
archi-phon-2006-JSP-1-vowels_0042,168.3,0.258,á,3,Purple,42,5567,668,1343,2473,664,1315,2577,647,1307,2684,629,1327,2603,670,1335,2533
archi-phon-2006-JSP-1-vowels_0043,129.9,0.214,á,3,Purple,43,5300,664,1243,2433,645,1215,2460,650,1205,2680,616,1151,2255,609,1261,2429
archi-phon-2006-JSP-1-vowels_0044,165.3,0.254,á,3,Purple,44,5167,585,1291,2392,629,1341,2457,667,1348,2555,649,1491,2469,597,1481,2385
archi-phon-2006-JSP-1-vowels_0045,131.2,0.224,á,3,Purple,45,5433,589,1299,2420,671,1300,2431,672,1335,2434,629,1414,2412,481,1458,2377
archi-phon-2006-JSP-1-vowels_0046,212.9,0.274,á,3,Purple,46,5700,528,960,2411,606,1257,2449,644,1393,2598,650,1340,2445,689,1341,2489
archi-phon-2006-JSP-1-vowels_0047,170.5,0.224,á,3,Purple,47,5567,546,1028,2492,610,1171,2476,638,1233,2508,682,1252,2496,642,1263,2469
archi-phon-2006-JSP-1-vowels_0048,153.1,0.142,í,1,Teal,48,5833,449,1885,2327,420,2024,2571,349,2062,2704,336,2036,2737,316,2052,2797
archi-phon-2006-JSP-1-vowels_0049,126.8,0.114,í,1,Teal,49,5567,411,1463,2243,377,1695,2203,310,1892,2332,271,1953,2615,296,1945,2575
archi-phon-2006-JSP-1-vowels_0050,162.6,0.152,í,1,Teal,50,5833,450,1984,2332,364,2038,2209,356,2128,2251,345,2068,2263,338,1944,2275
archi-phon-2006-JSP-1-vowels_0051,133.2,0.136,í,1,Teal,51,4633,398,1758,2316,396,1924,2336,326,2066,2450,310,2077,2454,286,2044,2357
archi-phon-2006-JSP-1-vowels_0052,316,0.126,í,1,Teal,52,4900,391,2105,2410,316,2154,2554,328,2120,2630,328,2146,2656,312,2084,2758
archi-phon-2006-JSP-1-vowels_0053,124.9,0.118,í,1,Teal,53,5033,376,1981,2485,285,2049,2664,262,2056,2714,278,2093,2693,292,2060,2792
